ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma20,ma60,rsi14,macd_dif,macd_dea,macd_hist
688981.SH,2025-11-14,123.0,125.5,117.89,118.18,123.1,-4.92,-3.9968,775293.52,9432871.553,119.72999999999999,124.86949999999999,116.29766666666666,28.424114225277606,-1.0153286582700503,0.20783398497208241,-2.4463252864842655
688981.SH,2025-11-17,116.82,119.29,116.51,117.63,118.18,-0.55,-0.4654,421773.41,4961789.944,119.25399999999999,124.61949999999999,116.74833333333332,29.403719912472624,-1.2890274762483074,-0.09153830727199556,-2.3949783379526237
688981.SH,2025-11-18,117.5,120.18,117.13,117.96,117.63,0.33,0.2805,473915.08,5629538.134,119.3,124.15800000000002,117.27,29.44231820667028,-1.4624493139663315,-0.3657205086108628,-2.1934576107109374
688981.SH,2025-11-19,117.99,118.49,115.51,116.28,117.96,-1.68,-1.4242,415119.56,4848790.041,118.63,123.63149999999999,117.75866666666666,31.854480922803873,-1.7156721291133152,-0.6357108327113533,-2.159922592803924
688981.SH,2025-11-20,117.99,118.29,116.46,116.78,116.28,0.5,0.43,344702.85,4045624.435,117.36600000000001,123.05550000000001,118.22966666666666,37.64195056780225,-1.854628213583311,-0.8794943088857449,-1.9502678093951322
688981.SH,2025-11-21,113.86,116.08,113.0,113.0,116.78,-3.78,-3.2369,461358.62,5264860.634,116.33,122.00250000000001,118.63533333333334,37.882352941176464,-2.243900038013251,-1.1523754547112461,-2.18304916660401
688981.SH,2025-11-24,112.99,113.5,108.18,111.51,113.0,-1.49,-1.3186,557908.63,6159093.355,115.106,120.853,119.00283333333333,36.46069233257845,-2.6421739740992507,-1.450335158588847,-2.383677631020807
688981.SH,2025-11-25,112.5,113.96,111.37,111.68,111.51,0.17,0.1525,407223.82,4584278.768,113.85,119.80250000000001,119.3335,36.927049709489985,-2.910540459931866,-1.742376218857451,-2.33632848214883
688981.SH,2025-11-26,110.7,113.9,110.61,112.71,111.68,1.03,0.9223,419553.57,4731195.304,113.136,118.78800000000001,119.6735,27.468448403860393,-3.005465308263041,-1.994994036738569,-2.020942543048944
688981.SH,2025-11-27,113.8,116.8,112.56,112.71,112.71,0.0,0.0,523431.12,6012840.143,112.322,117.99600000000001,120.06283333333334,30.578512396694165,-3.045586311277347,-2.2051124916463247,-1.6809476392620448
